39	32	111
115	168	154
120	237	162
150	297	388
191	300	409
199	330	448
214	395	480
215	395	497
247	433	515
325	461	557
438	465	566
445	489	648
500	500	658
539	507	663
641	570	681
677	581	717
700	624	732
758	687	775
768	696	839
790	697	866
803	719	873
810	738	918
975	744	956
991	772	968
1002	797	1001
1009	804	1012
1021	822	1013
1043	989	1020
1061	992	1038
1077	998	1097
1079	1000	1100
1085	1000	1101
1103	1009	1156
1143	1034	1157
1149	1061	1161
1166	1102	1163
1202	1123	1173
1222	1156	1194
1226	1219	1238
1327	1281	1297
1353	1308	1322
1354	1343	1324
1372	1396	1325
1378	1404	1334
1396	1461	1348
1436	1470	1464
1443	1472	1473
1473	1543	1487
1480	1572	1519
1559	1606	1525
1594	1617	1570
1608	1624	1574
1609	1655	1633
1610	1698	1703
1702	1746	1712
1749	1750	1727
1762	1757	1762
1776	1775	1818
1816	1777	1837
1831	1786	1866
1874	1857	1895
1898	1868	1998
1971	1931	2038
1984	1944	2067
1994	1971	2116
1995	1996	2119
1999	2035	2137
2105	2127	2196
2144	2132	2196
2194	2163	2253
2221	2179	2271
2269	2181	2284
2352	2188	2306
2445	2189	2319
2449	2212	2355
2488	2262	2368
2490	2291	2381
2528	2302	2449
2553	2312	2514
2592	2358	2584
2598	2364	2594
2686	2379	2621
2730	2402	2626
2750	2412	2707
2752	2459	2759
2767	2460	2769
2780	2509	2775
2813	2537	2850
2836	2641	2853
2869	2728	2987
2875	2780	3097
2888	2835	3099
2891	2867	3104
2948	2873	3136
2960	2974	3153
2961	3045	3154
2975	3047	3172
3038	3130	3233
3050	3143	3255
3097	3148	3282
3102	3205	3282
3138	3283	3287
3171	3286	3330
3175	3291	3338
3183	3297	3345
3282	3298	3347
3288	3319	3390
3343	3321	3438
3352	3348	3453
3356	3365	3510
3385	3389	3526
3387	3410	3560
3410	3430	3575
3489	3456	3642
3689	3532	3643
3820	3540	3667
3828	3551	3694
3841	3584	3724
3887	3622	3765
3913	3629	3766
4075	3666	3799
4097	3673	3827
4119	3677	3835
4124	3702	3856
4151	3730	3914
4186	3734	3959
4202	3744	3961
4234	3862	3990
4237	3863	4000
4256	3906	4007
4276	4066	4023
4278	4085	4034
4310	4116	4074
4317	4148	4114
4324	4150	4139
4398	4163	4160
4435	4172	4172
4439	4186	4276
4479	4257	4324
4595	4261	4328
4808	4311	4350
4841	4338	4378
4868	4463	4391
4870	4466	4395
4876	4501	4411
4886	4523	4419
4891	4545	4421
4914	4574	4435
5058	4575	4459
5071	4579	4497
5092	4601	4552
5098	4649	4579
5134	4657	4589
5252	4658	4613
5284	4670	4615
5297	4685	4627
5331	4705	4650
5340	4709	4724
5354	4733	4750
5379	4777	4765
5383	4853	4806
5412	4916	4832
5439	4917	4882
5460	4918	4907
5481	4922	4933
5509	4971	4935
5512	4972	4963
5513	4993	4986
5519	4994	4988
5622	5017	5003
5624	5080	5125
5649	5106	5128
5656	5159	5150
5669	5179	5160
5680	5185	5172
5693	5196	5184
5711	5286	5280
5718	5297	5291
5756	5326	5295
5768	5388	5301
5773	5472	5332
5776	5492	5350
5786	5518	5386
5845	5534	5445
5934	5561	5449
5947	5603	5454
5948	5765	5522
5954	5841	5555
5955	5849	5619
6080	5867	5645
6134	5872	5674
6155	5899	5691
6205	5919	5755
6231	5988	5770
6255	5993	5778
6385	6019	5854
6411	6046	5868
6424	6106	5904
6476	6155	5908
6530	6163	5908
6558	6209	5944
6564	6362	5951
6681	6383	5978
6702	6409	6074
6804	6414	6103
6820	6423	6118
6840	6423	6126
6889	6484	6145
6914	6488	6162
6921	6525	6182
6935	6535	6197
7031	6538	6217
7064	6549	6272
7080	6560	6362
7084	6613	6385
7098	6620	6432
7111	6670	6434
7114	6707	6485
7126	6716	6486
7132	6717	6577
7148	6718	6582
7164	6744	6609
7248	6848	6649
7260	6855	6710
7301	6890	6715
7329	6891	6731
7338	6965	6831
7349	6998	6866
7382	7009	6875
7387	7030	6915
7406	7046	6923
7441	7190	6935
7477	7295	6942
7481	7303	6964
7508	7308	6964
7523	7346	6968
7527	7359	7000
7537	7365	7010
7537	7383	7050
7573	7384	7097
7591	7417	7129
7593	7446	7133
7623	7447	7148
7640	7486	7152
7664	7487	7194
7749	7526	7236
7780	7550	7250
7837	7607	7281
7908	7663	7322
7979	7733	7359
8009	7809	7447
8025	7835	7475
8051	7860	7502
8086	7885	7561
8090	7903	7594
8096	7928	7671
8109	7940	7694
8109	7970	7742
8110	7992	7770
8216	8013	7782
8228	8017	7805
8255	8075	7807
8257	8089	7815
8269	8145	7837
8283	8178	7847
8346	8204	7954
8370	8392	7961
8375	8423	8015
8412	8435	8038
8441	8438	8095
8504	8439	8114
8524	8461	8203
8718	8473	8286
8764	8520	8378
8851	8525	8466
8898	8599	8529
8908	8612	8575
8977	8626	8587
8986	8650	8594
9163	8673	8629
9256	8706	8696
9266	8716	8727
9269	8728	8762
9282	8763	8809
9304	8773	8816
9337	8786	8846
9358	8797	8868
9392	8887	8876
9398	8898	8920
9448	8905	8944
9451	8954	9033
9657	8967	9041
9662	8970	9065
9674	9022	9178
9703	9027	9187
9714	9056	9246
9727	9097	9290
9748	9108	9318
9767	9202	9325
9829	9272	9337
9835	9311	9429
9866	9347	9465
9880	9372	9557
9919	9378	9647
9922	9396	9688
9965	9451	9690
10005	9476	9822
10029	9481	9847
10062	9517	9857
10075	9548	9862
10098	9556	9916
10135	9661	9970
10173	9705	9971
10200	9711	10003
10205	9716	10014
10213	9763	10041
10259	9790	10060
10267	9806	10066
10274	9820	10103
10279	9857	10132
10362	9873	10138
10386	9880	10162
10418	9899	10176
10469	9968	10176
10499	9969	10186
10514	10066	10215
10647	10069	10224
10648	10097	10263
10717	10102	10297
10751	10154	10375
10768	10181	10426
10786	10192	10529
10788	10212	10582
10795	10263	10585
10885	10298	10602
10886	10315	10714
10891	10324	10775
10895	10329	10787
10933	10338	10846
10942	10377	10853
10948	10512	10872
10987	10513	10928
11015	10536	10964
11036	10542	11042
11103	10619	11167
11166	10627	11181
11173	10634	11204
11206	10667	11226
11216	10675	11307
11288	10686	11325
11323	10700	11363
11328	10711	11375
11362	10731	11504
11443	10741	11521
11445	10754	11546
11477	10767	11554
11480	10782	11581
11489	10840	11620
11515	10878	11635
11532	10910	11664
11539	10919	11690
11685	10955	11859
11692	10980	11887
11703	11067	11966
11720	11069	12036
11725	11071	12062
11737	11087	12078
11777	11172	12081
11784	11179	12149
11804	11200	12202
11812	11221	12217
11829	11239	12230
11836	11309	12295
11849	11343	12338
11883	11402	12368
11932	11458	12395
11962	11477	12403
